id,answer
009001,ㄨㄛˇ ㄇㄣ˙ ㄔㄥˊ ㄕˋ ㄉㄜ˙ ㄈㄨˋ ㄙㄨ ㄧㄡˇ ㄌㄞˊ ㄧˊ ㄊㄚ ㄑㄧㄤˊ ㄧㄡˇ ㄌㄧˋ ㄉㄜ˙ ㄓㄥˋ ㄘㄜˋ
009002,ㄓㄜˋ ㄧㄤˋ ㄗㄨㄛˋ ㄉㄜ˙ ㄧ ㄐㄩˋ ㄐㄧㄡˋ ㄕˋ ㄙㄨ ㄖㄣˊ ㄊㄨㄥ ㄦˋ ㄙㄢ ㄑㄧ ㄏㄠˋ ㄨㄣˇ ㄐㄧㄢˋ
009003,ㄓㄜˋ ㄐㄧㄤ ㄏㄨㄟˋ ㄏㄣˇ ㄉㄚˋ ㄔㄥˊ ㄉㄨˋ ㄉㄜ˙ ㄏㄨㄢˊ ㄐㄧㄝˇ ㄧㄤˊ ㄌㄠˇ ㄐㄧㄣ ㄉㄜ˙ ㄑㄩㄜˋ ㄎㄡˇ
009004,ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙ ㄐㄧˇ ㄈㄥˊ ㄨ ㄍㄠˋ ㄒㄧㄝˋ ㄐㄧㄡˋ ㄩㄥˊ ㄋㄚˋ ㄇㄜ˙ ㄉㄚˋ ㄉㄜ˙ ㄆㄛ ㄏㄨㄞˋ ㄌㄧˋ
009005,ㄍㄤ ㄇㄞˇ ㄉㄜ˙ ㄎㄨˋ ㄗˇ ㄅㄨˊ ㄉㄠˋ ㄕˊ ㄈㄣ ㄓㄨㄥ ㄐㄧˇ ㄐㄧㄥ ㄋㄨㄥˋ ㄆㄛˋ ㄌㄜ˙
009006,ㄧㄣ ㄘˇ ㄓˋ ㄋㄥˊ ㄧˇ ㄗㄨㄟˋ ㄅㄣ ㄉㄜ˙ ㄈㄤ ㄕˋ ㄅㄨˊ ㄉㄨㄢˋ ㄧˊ ㄌㄨㄢˇ ㄐㄧ ㄕˊ
009007,ㄌㄧㄤˇ ㄖㄣˊ ㄘㄨㄛˋ ㄔㄜ ㄓ ㄐㄧˋ ㄇㄠˊ ㄉㄧㄝ ㄉㄧㄝ˙ ㄊㄨ ㄖㄢˊ ㄕㄨㄞˋ ㄉㄠˋ ㄕㄡˋ ㄕㄤ
009008,ㄊㄨㄥˊ ㄕˊ ㄇㄨˋ ㄇㄧㄣˊ ㄐㄧㄡˋ ㄧㄝˋ ㄑㄩˇ ㄉㄠˋ ㄓㄞˇ ㄕㄡ ㄖㄨˋ ㄗㄥ ㄓㄤˊ ㄏㄨㄢˇ ㄇㄢˋ
009009,ㄋㄩˇ ㄇㄧㄥˊ ㄒㄧㄥ ㄧㄝˇ ㄕˋ ㄆㄧㄥˊ ㄈㄢ ㄖㄣˊ ㄋㄧˊ ㄧˇ ㄨㄟˊ ㄗㄞˋ ㄩˊ ㄌㄜˋ ㄑㄨㄢ ㄆㄞ ㄒㄧˋ ㄍㄢˇ ㄊㄨㄥˊ ㄍㄠ ㄏㄣˇ ㄩㄥˊ ㄧˋ ㄇㄚ˙
009010,ㄒㄩˇ ㄉㄨㄛ ㄉㄠˋ ㄌㄧˇ ㄖㄣˊ ㄇㄣ˙ ㄧˇ ㄐㄧㄥ ㄓㄥˋ ㄇㄧㄥˊ ㄍㄨㄛˋ ㄑㄧㄢ ㄅㄧㄢˋ ㄨㄢˋ ㄅㄧㄢˋ ㄨㄟˋ ㄕㄤˋ ㄇㄜ˙ ㄏㄞˊ ㄧㄠˋ ㄉㄞˋ ㄓㄜ˙ ㄐㄧㄠˇ ㄒㄧㄥˋ ㄉㄜ˙ ㄒㄧㄣ ㄌㄧˇ ㄗㄞˋ ㄑㄩˋ ㄕˋ ㄩㄢˋ ㄧ ㄏㄨㄟˊ ㄋㄜ˙
009011,ㄗㄨㄛˊ ㄊㄧㄢ ㄊㄚ ㄒㄧㄤˋ ㄔㄥˊ ㄉㄨˋ ㄕㄤ ㄅㄠˋ ㄐㄧˋ ㄓㄜˇ ㄨㄟˊ ㄨㄟˇ ㄉㄠˋ ㄌㄞˊ
009012,ㄌㄧㄣˊ ㄈㄥ ㄩˇ ㄉㄨㄛ ㄨㄟˋ ㄋㄧㄢˊ ㄑㄧㄥ ㄇㄛˇ ㄊㄜˋ ㄋㄚˊ ㄑㄧˇ ㄉㄠˋ ㄐㄩˋ ㄉㄢˋ ㄍㄠ ㄏㄜˊ ㄓㄠˋ
